iter	Passed	Remaining
789	8900	2365
790	8903	2352
791	8907	2339
792	8916	2327
793	8924	2315
794	8934	2303
795	8959	2296
796	8966	2283
797	8972	2271
798	8975	2257
799	8984	2246
800	9000	2236
801	9024	2228
802	9035	2216
803	9078	2213
804	9086	2201
805	9091	2188
806	9098	2176
807	9103	2163
808	9108	2150
809	9111	2137
810	9127	2127
811	9145	2117
812	9259	2129
813	9264	2117
814	9269	2104
815	9272	2090
816	9277	2078
817	9281	2065
818	9288	2052
819	9292	2039
820	9349	2038
821	9419	2039
822	9509	2045
823	9544	2038
824	9563	2028
825	9568	2015
826	9571	2002
827	9575	1989
828	9632	1986
829	9637	1973
830	9676	1967
831	9686	1955
832	9692	1943
833	9696	1929
834	9721	1921
835	9736	1909
836	9742	1897
837	9746	1884
838	9750	1871
839	9756	1858
840	9779	1848
841	9786	1836
842	9789	1823
843	9792	1810
844	9797	1797
845	9805	1784
846	9812	1772
847	9822	1760
848	9835	1749
849	9848	1738
850	9859	1726
851	9864	1713
852	9871	1701
853	9877	1688
854	9881	1675
855	9885	1663
856	9890	1650
857	9899	1638
858	9923	1628
859	9928	1616
860	9932	1603
861	9965	1595
862	9975	1583
863	9981	1571
864	9994	1559
865	10013	1549
866	10020	1537
867	10028	1525
868	10036	1513
869	10045	1501
870	10061	1490
871	10063	1477
872	10066	1464
873	10074	1452
874	10083	1440
875	10088	1428
876	10094	1415
877	10109	1404
878	10132	1394
879	10135	1382
880	10139	1369
881	10147	1357
882	10162	1346
883	10186	1336
884	10199	1325
885	10203	1312
886	10214	1301
887	10217	1288
888	10221	1276
889	10243	1266
890	10248	1253
891	10256	1241
892	10259	1229
893	10264	1217
894	10269	1204
895	10273	1192
896	10276	1180
897	10280	1167
898	10298	1157
899	10314	1146
900	10318	1133
901	10323	1121
902	10326	1109
903	10330	1097
904	10334	1084
905	10338	1072
906	10378	1064
907	10382	1051
908	10404	1041
909	10408	1029
910	10441	1020
911	10472	1010
912	10495	1000
913	10505	988
914	10510	976
915	10514	964
916	10521	952
917	10524	940
918	10528	928
919	10531	915
920	10534	903
921	10540	891
922	10571	881
923	10579	870
924	10583	858
925	10587	846
926	10592	834
927	10597	822
928	10601	810
929	10606	798
930	10609	786
931	10629	775
932	10637	763
933	10646	752
934	10650	740
935	10655	728
936	10667	717
937	10687	706
938	10699	695
939	10706	683
940	10710	671
941	10714	659
942	10723	648
943	10727	636
944	10732	624
945	10751	613
946	10767	602
947	10773	590
948	10777	579
949	10782	567
950	10787	555
951	10794	544
952	10797	532
953	10801	520
954	10828	510
955	10831	498
956	10837	486
957	10841	475
958	10846	463
959	10878	453
960	10887	441
961	10891	430
962	10903	418
963	10906	407
964	10913	395
965	10924	384
966	10928	372
967	10933	361
968	10936	349
969	10947	338
970	10955	327
971	10960	315
972	10968	304
973	10981	293
974	11041	283
975	11050	271
976	11054	260
977	11058	248
978	11067	237
979	11075	226
980	11079	214
981	11095	203
982	11099	191
983	11104	180
984	11122	169
985	11129	158
986	11135	146
987	11140	135
988	11148	123
989	11166	112
990	11175	101
991	11179	90
992	11232	79
993	11238	67
994	11241	56
995	11245	45
996	11248	33
997	11251	22
998	11254	11
999	11277	0
